NO,체험프로그램명,체험처명,체험처유형,체험프로그램 직업유형,체험유형,초등학교대상여부,중학교대상여부,고등학교대상여부,위도,경도,체험인원,유무료구분,유료금액,체험시간,대면비대면구분,안전도,교육기부인증기관여부,체험지역명,체험진행장소
1000,업사이클링 제스모나이트로 완성하는 공간 오브제,스페이스민,개인사업장,제품 디자이너,직업실무체험형,Y,Y,Y,37.2758569444677,127.151277088807,20,유료,30000.0,2.0,79001,,,경기 용인시,학교
999,한성대학교 학술정보관에서 대학도서관 사서 체험해보기,한성대 학술정보관,학교/대학교,학예사·사서·기록물관리사,현장직업체험형,,Y,Y,37.58257503113074,127.01074404764512,15,무료,,2.0,79001,,,서울 성북구,체험처
998,캔버스 아크릴화 그림 그리기,아트리유 미술학원,개인사업장,시각 디자이너,직업실무체험형,Y,Y,Y,37.6106958004184,127.060517642829,6,유료,30000.0,60.0,79001,,,서울 성북구,체험처
997,자이언트플라워 아티스트 & 공간연출가 진로체험,스페이스민,개인사업장,실내장식 디자이너,직업실무체험형,,Y,Y,37.2758569444677,127.151277088807,20,유료,30000.0,2.0,79001,,,경기 용인시,학교
996,"[의료+생명윤리] 1분 안에 결정하라, 누구를 먼저 살릴까?: 트리아지로 배우는 응급의학",바로교육연구소,민간기업,응급구조사,직업실무체험형,,Y,Y,35.1641188069357,126.860692576666,30,유료,20000.0,4.0,79001,,,광주 서구,학교
995,"[환경+데이터] 2050년, 우리 도시는 살아남을까?: 기후 데이터로 그리는 미래 생존 설계",바로교육연구소,민간기업,환경공학일반,직업실무체험형,,Y,Y,35.1641188069357,126.860692576666,30,유료,20000.0,4.0,79001,,,광주 서구,학교
994,[국제이해+협상] 내가 한 나라의 대표라면?: 모의 UN 세계시민 프로젝트,바로교육연구소,민간기업,외교사/외교학사,직업실무체험형,,Y,Y,35.1641188069357,126.860692576666,30,유료,20000.0,4.0,79001,,,광주 서구,학교
993,[인문+비판적사고] 정답 없는 질문에 맞서는 법: 하브루타로 기르는 생각의 근육,바로교육연구소,민간기업,인문학,직업실무체험형,,Y,Y,35.1641188069357,126.860692576666,30,유료,20000.0,4.0,79001,,,광주 서구,학교
992,[공학+사회혁신] 30만 원으로 세상을 구할 수 있을까?: 적정기술 발명 프로젝트,바로교육연구소,민간기업,공학,직업실무체험형,,Y,Y,35.1641188069357,126.860692576666,30,유료,25000.0,4.0,79001,,,광주 서구,학교
991,[심리+상담] 말 안 해도 네 마음이 보여?: 심리검사·프로파일링으로 떠나는 마음 탐험,바로교육연구소,민간기업,사회복지사 및 상담사,직업실무체험형,,Y,Y,35.1641188069357,126.860692576666,30,유료,20000.0,4.0,79001,,,광주 서구,학교
